instance,seed,algorithm,trace_type,objective_evaluation_count,best_fitness,best_makespan,best_load_imbalance,best_total_idle_distance,elapsed_algorithm_time,generation
w30,80,ABMA20,primary_evaluation,186,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,42.87488920008764,
w30,80,ABMA20,primary_evaluation,187,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,42.97751390002668,
w30,80,ABMA20,primary_evaluation,188,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,43.278653900139034,
w30,80,ABMA20,primary_evaluation,189,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,43.51194280013442,
w30,80,ABMA20,primary_evaluation,190,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,43.71033970010467,
w30,80,ABMA20,primary_evaluation,191,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,43.98380990000442,
w30,80,ABMA20,primary_evaluation,192,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,44.11103000002913,
w30,80,ABMA20,primary_evaluation,193,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,44.32655040011741,
w30,80,ABMA20,primary_evaluation,194,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,44.462303299922496,
w30,80,ABMA20,primary_evaluation,195,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,44.58782170014456,
w30,80,ABMA20,primary_evaluation,196,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,44.82597040012479,
w30,80,ABMA20,primary_evaluation,197,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,45.00278150010854,
w30,80,ABMA20,primary_evaluation,198,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,45.22384850005619,
w30,80,ABMA20,primary_evaluation,199,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,45.430593400029466,
w30,80,ABMA20,primary_evaluation,200,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,45.63429419999011,
w30,80,ABMA20,primary_evaluation,201,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,45.71393160009757,
w30,80,ABMA20,primary_evaluation,202,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,45.816631300142035,
w30,80,ABMA20,primary_evaluation,203,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,46.026088000042364,
w30,80,ABMA20,primary_evaluation,204,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,46.23100699996576,
w30,80,ABMA20,primary_evaluation,205,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,46.423934099962935,
w30,80,ABMA20,primary_evaluation,206,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,46.54147340008058,
w30,80,ABMA20,primary_evaluation,207,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,46.664573499932885,
w30,80,ABMA20,primary_evaluation,208,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,46.85127150011249,
w30,80,ABMA20,primary_evaluation,209,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,46.95596050005406,
w30,80,ABMA20,primary_evaluation,210,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,47.14353829994798,
w30,80,ABMA20,primary_evaluation,211,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,47.34232749999501,
w30,80,ABMA20,primary_evaluation,212,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,47.48836800013669,
w30,80,ABMA20,primary_evaluation,213,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,47.65146249998361,
w30,80,ABMA20,primary_evaluation,214,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,47.88502590009011,
w30,80,ABMA20,primary_evaluation,215,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,48.17164469999261,
w30,80,ABMA20,primary_evaluation,216,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,48.39215730014257,
w30,80,ABMA20,primary_evaluation,217,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,48.48154029995203,
w30,80,ABMA20,primary_evaluation,218,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,48.59356450010091,
w30,80,ABMA20,primary_evaluation,219,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,49.39186320011504,
w30,80,ABMA20,primary_evaluation,220,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,49.70379370008595,
w30,80,ABMA20,primary_evaluation,221,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,49.890535600017756,
w30,80,ABMA20,primary_evaluation,222,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,50.23759960010648,
